"subj"	"block"	"bsl"	"speed"	"trialN"	"condi"	"setID"	"RTs"	"dprime"	"cyc"	"cond"	"tempo"	"response"	"RTadj"	"tone"
"96"	"11"	6	0.4447	1	68	"2"	27	0.7763	3.886256	"TEN"	"RANDREG"	"25ms"	"Hit"	0.3316	13
"97"	"11"	6	0.4447	1	74	"2"	14	1.0874	3.886256	"TEN"	"RANDREG"	"25ms"	"Hit"	0.6427	26
"98"	"11"	6	0.4447	1	77	"2"	3	1.0046	3.886256	"TEN"	"RANDREG"	"25ms"	"Hit"	0.5599	22
"99"	"11"	6	0.4447	1	78	"2"	22	1.0408	3.886256	"TEN"	"RANDREG"	"25ms"	"Hit"	0.5961	24
"100"	"11"	6	0.4447	1	79	"2"	18	0.9364	3.886256	"TEN"	"RANDREG"	"25ms"	"Hit"	0.4917	20
"101"	"11"	6	0.4447	1	80	"2"	10	0.9283	3.886256	"TEN"	"RANDREG"	"25ms"	"Hit"	0.4836	19
"102"	"12"	4	0.52328	1	2	"2"	15	1.2502	3.886256	"TEN"	"RANDREG"	"25ms"	"Hit"	0.72692	29
"103"	"12"	4	0.52328	1	7	"2"	5	0.9628	3.886256	"TEN"	"RANDREG"	"25ms"	"Hit"	0.43952	18
"104"	"12"	4	0.52328	1	10	"2"	10	1.0087	3.886256	"TEN"	"RANDREG"	"25ms"	"Hit"	0.48542	19
"105"	"12"	4	0.52328	1	11	"2"	25	0.9506	3.886256	"TEN"	"RANDREG"	"25ms"	"Hit"	0.42732	17
"106"	"12"	4	0.52328	1	13	"2"	33	0.917	3.886256	"TEN"	"RANDREG"	"25ms"	"Hit"	0.39372	16
"107"	"12"	4	0.52328	1	15	"2"	19	0.9223	3.886256	"TEN"	"RANDREG"	"25ms"	"Hit"	0.39902	16
"108"	"12"	4	0.52328	1	24	"2"	35	1.0915	3.886256	"TEN"	"RANDREG"	"25ms"	"Hit"	0.56822	23
"109"	"12"	4	0.52328	1	27	"2"	32	0.7978	3.886256	"TEN"	"RANDREG"	"25ms"	"Hit"	0.27452	11
"110"	"12"	4	0.52328	1	29	"2"	16	0.8601	3.886256	"TEN"	"RANDREG"	"25ms"	"Hit"	0.33682	13
"111"	"12"	4	0.52328	1	30	"2"	26	0.7767	3.886256	"TEN"	"RANDREG"	"25ms"	"Hit"	0.25342	10
