subj	 block	 speed	 trialN	 condi	 setID	 RTs	 response	 dprime	 correct
1	3	3	35	2	8	1.7244	1	3.241516 	1
1	3	3	36	1	14	NaN	2	3.241516 	1
1	3	3	37	2	33	1.7278	1	3.241516 	1
1	3	3	38	1	10	NaN	2	3.241516 	1
1	3	3	39	1	3	NaN	2	3.241516 	1
1	3	3	40	1	12	NaN	2	3.241516 	1
1	3	3	41	1	6	NaN	2	3.241516 	1
1	3	3	42	1	11	NaN	2	3.241516 	1
1	3	3	43	2	9	1.5912	1	3.241516 	1
1	3	3	44	2	14	1.4578	1	3.241516 	1
1	3	3	45	1	13	NaN	2	3.241516 	1
1	3	3	46	2	32	1.8607	1	3.241516 	1
1	3	3	47	1	35	NaN	2	3.241516 	1
1	3	3	48	2	25	1.9915	1	3.241516 	1
1	3	3	49	1	17	NaN	2	3.241516 	1
1	3	3	50	1	18	NaN	2	3.241516 	1
1	3	3	51	2	21	2.1353	1	3.241516 	1
1	3	3	52	1	27	NaN	2	3.241516 	1
1	3	3	53	1	1	8.4737	-1	3.241516 	0
1	3	3	54	2	17	1.6739	1	3.241516 	1
1	3	3	55	1	34	NaN	2	3.241516 	1
1	3	3	56	2	3	2.1332	1	3.241516 	1
1	3	3	57	1	9	NaN	2	3.241516 	1
1	3	3	58	1	25	NaN	2	3.241516 	1
1	3	3	59	2	27	1.6699	1	3.241516 	1
1	3	3	60	1	2	NaN	2	3.241516 	1
1	3	3	61	2	15	1.6731	1	3.241516 	1
1	3	3	62	3	4	NaN	2	3.241516 	1
1	3	3	63	4	1	0.2783	1	3.241516 	1
1	3	3	64	2	31	1.8612	1	3.241516 	1
1	3	3	65	3	3	NaN	2	3.241516 	1
1	3	3	66	2	4	1.9862	1	3.241516 	1
1	3	3	67	2	1	2.0216	1	3.241516 	1
1	3	3	68	1	31	4.3929	-1	3.241516 	0
1	3	3	69	1	24	NaN	2	3.241516 	1
1	3	3	70	1	5	NaN	2	3.241516 	1
1	3	3	71	2	2	NaN	0	3.241516 	0
1	3	3	72	2	34	1.8230	1	3.241516 	1
1	3	3	73	1	22	6.2947	-1	3.241516 	0
1	3	3	74	2	5	2.1360	1	3.241516 	1
1	3	3	75	4	4	0.5360	1	3.241516 	1
1	3	3	76	2	18	1.6510	1	3.241516 	1
1	3	3	77	2	12	1.7330	1	3.241516 	1
1	3	3	78	3	5	NaN	2	3.241516 	1
1	3	3	79	4	2	0.5594	1	3.241516 	1
1	3	3	80	2	6	1.8770	1	3.241516 	1
1	4	6	1	2	26	4.7828	1	2.369897 	1
1	4	6	2	1	27	NaN	2	2.369897 	1
1	4	6	3	2	35	4.1292	1	2.369897 	1
1	4	6	4	1	16	NaN	2	2.369897 	1
1	4	6	5	1	19	NaN	2	2.369897 	1
1	4	6	6	1	26	NaN	2	2.369897 	1
1	4	6	7	2	20	4.2091	1	2.369897 	1
1	4	6	8	2	5	3.6825	1	2.369897 	1
1	4	6	9	1	22	NaN	2	2.369897 	1
1	4	6	10	2	17	2.3537	1	2.369897 	1
1	4	6	11	2	6	3.2399	1	2.369897 	1
1	4	6	12	1	8	NaN	2	2.369897 	1
1	4	6	13	2	11	NaN	0	2.369897 	0
1	4	6	14	3	3	NaN	2	2.369897 	1
1	4	6	15	2	22	NaN	0	2.369897 	0
1	4	6	16	1	30	NaN	2	2.369897 	1
1	4	6	17	1	15	NaN	2	2.369897 	1
1	4	6	18	1	20	NaN	2	2.369897 	1
1	4	6	19	2	12	NaN	0	2.369897 	0
1	4	6	20	3	5	NaN	2	2.369897 	1
1	4	6	21	4	3	0.2966	1	2.369897 	1
1	4	6	22	1	11	NaN	2	2.369897 	1
1	4	6	23	2	32	4.0153	1	2.369897 	1
1	4	6	24	1	25	9.3398	-1	2.369897 	0
1	4	6	25	2	13	3.6848	1	2.369897 	1
1	4	6	26	1	6	NaN	2	2.369897 	1
1	4	6	27	2	4	3.7503	1	2.369897 	1
1	4	6	28	2	34	4.0825	1	2.369897 	1
1	4	6	29	2	10	4.6135	1	2.369897 	1
1	4	6	30	3	2	NaN	2	2.369897 	1
